S.Score	G2M.Score	Phase
C1	-0.143208788689615	-0.237419451925359	G1
C2	-0.0863202797876764	0.317570302860476	G2M
C3	-0.0149168521033689	-0.0485633963983196	G1
C4	-0.146124600749169	0.404676694334804	G2M
C5	0.11690669095293	0.260455602492697	G2M
C6	0.398974305018533	-0.0516548779018848	S
C7	-0.0666278156284941	0.365212514022453	G2M
C8	-0.15952306877759	-0.286835188635168	G1
C9	-0.216763381196351	-0.292997681745642	G1
C10	0.192850340666241	0.0130963416220955	S
C11	-0.0905570627434677	0.556175093350162	G2M
C12	-0.163176912833349	-0.285372585181285	G1
C13	-0.157755553323771	-0.219873133596217	G1
C14	-0.0619163966763992	0.178933119924909	G2M
C15	-0.049357494998425	0.178166878601624	G2M
C16	0.185960658316092	0.107013189822214	S
C17	0.201501569469024	-0.0175640138949837	S
C18	-0.173222029145223	0.186716145702794	G2M
C19	0.11328805334798	0.0560101550270973	S
C20	0.0786842734758184	0.117891526945229	G2M
C21	-0.151893587030465	-0.211260469454176	G1
C22	-0.170502819486353	-0.279469488096526	G1
C23	-0.151145754749213	-0.259370213072557	G1
C24	0.121253051144901	-0.0526205908055341	S
C25	-0.00773122315755181	0.260253313139986	G2M
C26	-0.165782121876518	-0.209108485092736	G1
C27	-0.0703232937323737	0.280006836182994	G2M
C28	-0.253026263109189	-0.269173179429465	G1
C29	-0.164536548860471	0.532958025421189	G2M
C30	0.227485077257258	-0.0656345201687652	S
C31	-0.0548016410001954	-0.191951600779868	G1
C32	-0.193354939497304	-0.0686520511865299	G1
C33	-0.106081902276211	0.314782047694547	G2M
C34	0.186562007514969	-0.234621674936741	S
C35	-0.208015591051748	-0.108504500836376	G1
C36	0.126345839688636	-0.0559952892587716	S
C37	-0.0135019890432721	0.166167038940944	G2M
C38	-0.200634841237927	-0.253874662515789	G1
C39	-0.203450766355034	-0.254990522517401	G1
C40	0.0763238261288417	0.102831057933335	G2M
C41	-0.166347413470759	-0.19549326937543	G1
C42	0.340199975413637	0.105977109132001	S
C43	-0.175222065219868	-0.245843213153553	G1
C44	-0.225281987027332	-0.238022042221083	G1
C45	-0.186604999170672	-0.286906296542522	G1
C46	0.00479106163786841	0.124800152364673	G2M
C47	0.269379066428164	0.0323267375318589	S
C48	-0.114916257868935	-0.172901863099312	G1
C49	-0.171049510609709	-0.2505505555187	G1
C50	0.0256734725462932	-0.0112868751851075	S
C51	0.182227810842878	0.0317203697247825	S
C52	-0.160607623169376	-0.222256335780617	G1
C53	-0.190884216046443	-0.273926978891588	G1
C54	-0.168015063875529	-0.125472875788041	G1
C55	-0.148666360141062	-0.254423268330132	G1
