S.Score	G2M.Score	Phase
C1	0.0554661434411817	-0.0670815043552399	S
C2	-0.17479704198265	-0.284800428525211	G1
C3	0.244401802887136	0.131333691632504	S
C4	-0.200644597417087	-0.278514639350229	G1
C5	-0.106337606016582	0.293687691198722	G2M
C6	-0.179117910970526	-0.265464879538832	G1
C7	-0.188824783220501	-0.292127662221614	G1
C8	0.171133811191065	-0.0176277227818944	S
C9	-0.141636370995199	-0.250147404991511	G1
C10	0.0572494094541868	-0.213200946125346	S
C11	-0.122708532974452	-0.229100686444028	G1
C12	0.0695510989484769	-0.142745726397819	S
C13	-0.229130931244846	-0.277176194492312	G1
C14	-0.177729145851102	-0.202989776698477	G1
C15	-0.145501427045153	-0.253520872077055	G1
C16	0.0431082950460778	-0.244592468414759	S
C17	-0.170692139010118	-0.225366319906006	G1
C18	-0.195069841731689	-0.31223067479494	G1
C19	-0.14121468358979	-0.246575272527068	G1
C20	0.168610705694807	-0.0122875627286218	S
C21	0.0220898337969508	0.280678042470254	G2M
C22	-0.112575997218713	0.488930890702748	G2M
C23	-0.107086490734896	0.120906336700942	G2M
C24	0.136056396993563	-0.264764298501109	S
C25	-0.108029720789841	0.186140817099866	G2M
C26	-0.211858439237792	-0.291129784053621	G1
C27	-0.130068298201894	-0.277691032340534	G1
C28	-0.00577246894423444	0.218423114022449	G2M
C29	-0.164984263062432	-0.243328475443424	G1
C30	0.0776211346211859	0.264401204881317	G2M
C31	-0.138563042275782	-0.278142621201659	G1
C32	-0.132678973957535	-0.220142274086076	G1
C33	-0.171261701028027	-0.247216795937507	G1
C34	-0.156405666255422	0.168762397264995	G2M
C35	-0.0491691545268421	0.219827605647678	G2M
C36	0.0318440599658553	0.181811080403343	G2M
C37	-0.086297484005661	0.396207517320916	G2M
C38	-0.134199701786129	-0.192171873087511	G1
C39	0.114866468195514	0.0632539262947303	S
C40	0.294042051240994	0.123135818330216	S
C41	0.206835643663218	-0.0989945243365645	S
C42	0.247020511042119	-0.00964952752684228	S
C43	-0.156489435819699	-0.264702080289421	G1
C44	-0.145454805590636	-0.273840254998227	G1
C45	0.0588144043666555	0.16193594715817	G2M
C46	-0.121753227106508	-0.089312193511762	G1
C47	-0.105993516473752	-0.225400523522291	G1
C48	-0.00206973736225063	0.37655673236331	G2M
C49	0.021433858468895	5.96478373567355e-05	S
C50	-0.0382503068041204	0.3000778923203	G2M
C51	-0.0972168085274658	-0.271436259197494	G1
C52	-0.172094270712361	-0.248664466592495	G1
C53	-0.184888748065704	-0.247878011692688	G1
C54	-0.0537589297667708	-0.224559896294626	G1
C55	-0.113707670942646	-0.257761804859611	G1
C56	-0.149000106380905	-0.265988276006393	G1
C57	0.144136466357163	-0.171421772376347	S
C58	-0.0521877114870652	0.267475713221839	G2M
C59	0.0924033070919762	0.00251035580052383	S
C60	0.0719440605970951	0.195393198252497	G2M
C61	-0.124981552122481	-0.137572042349078	G1
C62	0.240558392313636	0.10671004224133	S
C63	-0.171155713292744	-0.226437694032384	G1
C64	0.255781902515187	-0.161980319610503	S
C65	-0.0871367552457196	-0.243593559019905	G1
C66	-0.175613476916252	-0.243431254718267	G1
C67	0.239696566873612	-0.01740123412564	S
C68	-0.182822392576214	0.521952943706267	G2M
C69	-0.127676574531215	-0.23697500750665	G1
C70	-0.121260601149004	-0.235728243735571	G1
C71	-0.0777445591617941	0.202361602395814	G2M
C72	0.234626195742192	0.13639729183106	S
C73	-0.133452285104474	0.160222120310383	G2M
C74	-0.132250815689386	0.0534554347229658	G2M
C75	-0.0648696720041035	0.264975259777859	G2M
C76	-0.17289054503285	-0.238407163905717	G1
C77	-0.175289415633505	-0.229963148573913	G1
C78	-0.183619938010622	-0.249748828520605	G1
C79	-0.10873457492561	0.356744760644009	G2M
C80	-0.193617279328428	-0.244994797735931	G1
C81	0.0391394689996067	0.146522138258417	G2M
C82	-0.161858775795734	-0.286133516317526	G1
C83	-0.0433180453321839	0.0957670443329434	G2M
C84	0.340631876077821	-0.157857139307669	S
C85	0.120563994360045	0.132134497304184	G2M
C86	-0.113464594771014	-0.264719507179555	G1
C87	0.101404367796374	0.121213156908664	G2M
C88	-0.140529806947122	-0.243858985839136	G1
C89	-0.0486154444108943	0.368891559308553	G2M
C90	0.023386698998008	0.1618270325011	G2M
C91	0.0351285724395722	-0.141573884525376	S
C92	-0.0997329286261287	-0.194119965256133	G1
C93	-0.0724643462270377	0.215083893924421	G2M
C94	-0.160145498383856	-0.291573655367575	G1
C95	-0.126407449143753	-0.250949930799705	G1
C96	-0.122124401199694	-0.182967448161557	G1
C97	0.251622323786087	0.176709877534119	S
C98	0.104033636099346	-0.0242729327085482	S
C99	0.148942374495648	-0.0123550178778167	S
C100	-0.0887502636404741	-0.233337223311668	G1
C101	-0.175060993582194	-0.250372121242103	G1
C102	0.0775267215295241	-0.124267864354659	S
C103	-0.150078363684168	-0.200409807647151	G1
C104	0.0113380330440178	0.157656654310059	G2M
C105	-0.0771884981330949	0.33948797167492	G2M
C106	-0.131690687188652	-0.245588577617519	G1
C107	-0.204158542943975	-0.279498990128556	G1
C108	0.136348390198786	-0.145829862091199	S
C109	0.147536881635464	-0.1025471525335	S
C110	-0.129291114603527	-0.280289968889616	G1
C111	0.0460965493985624	0.0520735328756978	G2M
C112	-0.203436026820729	-0.23684292499967	G1
C113	0.104050839651367	0.123682500068567	G2M
C114	-0.227964351004983	-0.279590135471674	G1
C115	-0.128075295177873	-0.251742186420605	G1
C116	0.126685388690025	0.0375633569191615	S
C117	-0.168415866174527	0.546395139001108	G2M
C118	0.20546566080199	-0.123267104554594	S
C119	-0.197628220147327	-0.273150285326477	G1
C120	-0.106660404293009	-0.162938406432895	G1
C121	-0.188133574493765	-0.266523458346256	G1
C122	-0.0339204637870524	0.129937076261073	G2M
C123	-0.0892353570679044	0.233990087977958	G2M
C124	0.132546977013358	-0.0889729054366796	S
C125	-0.10217084576056	-0.140022415443872	G1
C126	-0.0223961588260423	0.00820416467391277	G2M
C127	-0.130419174213883	-0.258267826457005	G1
C128	-0.12172044958912	0.370281766485964	G2M
C129	-0.129116666105359	-0.233890363849106	G1
C130	-0.0147310742085681	-0.273295919324517	G1
C131	-0.102962811045073	-0.273334366124005	G1
C132	-0.142486811077911	-0.325430225996307	G1
C133	-0.188069253928401	-0.271267950836382	G1
C134	-0.0070089725624318	-0.27206012838366	G1
C135	0.210310490485487	0.079570716355526	S
C136	-0.1461678629385	-0.0338153359452333	G1
C137	-0.175194947572582	-0.281270660985926	G1
C138	0.0234015896995216	0.193483769336915	G2M
C139	-0.0778440228304837	0.139321760695271	G2M
C140	-0.147502536907852	-0.287934752056831	G1
C141	-0.150378539800118	-0.252638410578156	G1
C142	-0.196274824973774	-0.302090269738118	G1
C143	0.203935415080265	-0.0993216750884777	S
C144	0.109506881567309	0.077006401289128	S
C145	-0.185592894696472	-0.220719405837499	G1
C146	-0.146605125834452	-0.184930215608727	G1
C147	-0.107204035220326	0.492128683496325	G2M
C148	-0.18474798865049	-0.282041569546762	G1
C149	0.0908425324373356	0.20467586359266	G2M
C150	0.0568538565494778	-0.0379146210470522	S
C151	0.222860027174719	0.112864378432285	S
C152	-0.134098502371672	-0.245480815040441	G1
C153	0.232485679355113	0.0785278019082717	S
C154	-0.177994574264374	-0.264920364560993	G1
C155	-0.133981715053965	-0.240806424821821	G1
C156	-0.116140464550466	0.0886596368331112	G2M
C157	-0.155362332550122	-0.248512960540267	G1
C158	-0.170193083190879	-0.206205872791647	G1
C159	-0.0651798940109785	-0.240175456555991	G1
C160	0.302084281717264	-0.160320018272525	S
C161	0.00410959466494454	0.191220282839408	G2M
C162	0.0577496953035051	-0.214439853868626	S
C163	-0.0474517816470167	0.137779138305051	G2M
C164	0.244900804626255	-0.0205519342167702	S
C165	-0.133653865247969	-0.281605509816849	G1
C166	-0.103777207881556	-0.287330822216692	G1
C167	-0.177289048353218	-0.254116217540372	G1
C168	-0.0719835679151406	-0.201658017127033	G1
C169	-0.147145719735919	-0.275045229497064	G1
C170	-0.164799374506973	-0.232357449571552	G1
C171	0.0173207698917514	0.154058909673343	G2M
C172	-0.110267825509516	-0.245571413239588	G1
C173	-0.0486446630191739	-0.196999603341203	G1
C174	-0.0748759951002664	0.249165888979555	G2M
C175	-0.187068506828916	-0.241713971577608	G1
C176	-0.205630768767732	-0.286385949469665	G1
C177	0.0808382107641804	0.020130740245892	S
C178	0.139567490526695	-0.0173269196553973	S
C179	0.066423151891752	-0.160008791545161	S
C180	-0.16039761420917	-0.27412575711148	G1
C181	-0.0774427144160209	-0.239850398476456	G1
C182	-0.125883986594006	-0.192184422176073	G1
C183	0.161983998116431	-0.074548335945804	S
C184	-0.0887469364372199	-0.00270755043905829	G1
C185	-0.0944237798090391	-0.0980017783024757	G1
C186	0.0996063477059515	-0.155346312492907	S
C187	-0.0258751649004723	0.0498252087226212	G2M
C188	0.010398031675789	0.13969657160122	G2M
C189	-0.145004844489072	-0.243086488520169	G1
C190	-0.138169746335362	-0.223774826273494	G1
C191	0.0359824682164329	-0.116788940772193	S
C192	0.237279724651918	0.0420858863141536	S
C193	0.253769209983532	0.100517864118899	S
C194	0.181168090037054	-0.0505289088417731	S
C195	-0.143943570430158	-0.270241690515824	G1
C196	-0.188776198283848	-0.291424812443077	G1
C197	-0.0519200458592258	0.325370809437055	G2M
C198	-0.180400307732048	-0.244342590234923	G1
