1	AFR
2	AFR
3	AFR
4	AFR
5	AFR
6	EUR
7	EUR
8	AFR
9	EUR
10	AFR
11	EUR
12	AFR
13	AFR
14	AFR
15	EUR
16	AFR
17	AFR
18	AFR
19	EUR
20	AFR
21	AFR
22	EUR
23	AFR
24	AFR
25	AFR
26	AFR
27	AFR
28	EUR
29	AFR
30	AFR
31	AFR
32	EUR
33	AFR
34	AFR
35	AFR
36	EUR
37	EUR
38	EUR
39	AFR
40	EUR
41	EUR
42	AFR
43	AFR
44	AFR
45	AFR
46	AFR
47	AFR
48	AFR
49	AFR
50	EUR
51	AFR
52	AFR
53	EUR
54	AFR
55	EUR
56	EUR
57	AFR
58	AFR
59	AFR
60	AFR
61	AFR
62	AFR
63	EUR
64	AFR
65	EUR
66	EUR
67	EUR
68	EUR
69	AFR
70	EUR
71	AFR
72	AFR
73	EUR
74	EUR
75	AFR
76	AFR
77	AFR
78	AFR
79	AFR
80	AFR
81	EUR
82	AFR
83	AFR
84	AFR
85	EUR
86	EUR
87	EUR
88	EUR
89	AFR
90	EUR
91	EUR
92	EUR
93	EUR
94	AFR
95	EUR
96	EUR
97	EUR
98	AFR
99	EUR
100	AFR
101	EUR
102	EUR
103	AFR
104	EUR
105	AFR
106	AFR
107	EUR
108	EUR
109	AFR
110	EUR
111	EUR
112	EUR
113	EUR
114	AFR
115	EUR
116	EUR
117	AFR
118	EUR
119	AFR
120	AFR
121	AFR
122	EUR
123	AFR
124	AFR
125	AFR
126	AFR
127	AFR
128	AFR
129	AFR
130	EUR
131	AFR
132	AFR
133	EUR
134	AFR
135	AFR
136	AFR
137	EUR
138	AFR
139	AFR
140	EUR
141	AFR
142	EUR
143	AFR
144	AFR
145	EUR
146	EUR
147	AFR
148	EUR
149	EUR
150	EUR
151	AFR
152	EUR
153	EUR
154	EUR
155	EUR
156	EUR
157	EUR
158	AFR
159	EUR
160	AFR
161	AFR
162	AFR
163	AFR
164	EUR
165	EUR
166	AFR
167	AFR
168	AFR
169	AFR
170	AFR
171	AFR
172	AFR
173	EUR
174	AFR
175	AFR
176	AFR
177	AFR
178	AFR
179	EUR
180	AFR
181	EUR
182	AFR
183	AFR
184	EUR
185	EUR
186	EUR
187	AFR
188	EUR
189	AFR
190	AFR
191	AFR
192	AFR
193	AFR
194	EUR
195	AFR
196	AFR
197	AFR
198	EUR
199	AFR
200	AFR
201	AFR
202	AFR
203	AFR
204	AFR
205	AFR
206	EUR
207	EUR
208	EUR
209	EUR
210	AFR
211	AFR
212	AFR
213	AFR
214	EUR
215	AFR
216	EUR
217	AFR
218	AFR
219	AFR
220	EUR
221	AFR
222	AFR
223	AFR
224	AFR
225	EUR
226	AFR
227	EUR
228	EUR
229	AFR
230	AFR
231	EUR
232	AFR
233	AFR
234	EUR
235	AFR
236	EUR
237	AFR
238	AFR
239	AFR
240	AFR
241	EUR
242	AFR
243	EUR
244	AFR
245	0
246	EUR
247	AFR
248	AFR
249	AFR
250	EUR
251	AFR
252	EUR
253	AFR
254	AFR
255	AFR
256	AFR
257	AFR
258	EUR
259	EUR
260	AFR
261	AFR
262	EUR
263	AFR
264	AFR
265	AFR
266	AFR
267	EUR
268	EUR
269	EUR
270	EUR
271	AFR
272	AFR
273	AFR
274	EUR
275	EUR
276	AFR
277	EUR
278	AFR
279	EUR
280	AFR
281	AFR
282	EUR
283	AFR
284	AFR
285	AFR
286	AFR
287	AFR
288	EUR
289	AFR
290	AFR
291	AFR
292	AFR
293	EUR
294	EUR
295	AFR
296	AFR
297	EUR
298	AFR
299	EUR
300	AFR
301	EUR
302	EUR
303	EUR
304	AFR
305	AFR
306	AFR
307	EUR
308	EUR
309	EUR
310	EUR
311	AFR
312	AFR
313	EUR
314	EUR
315	EUR
316	EUR
317	AFR
318	AFR
319	EUR
320	AFR
321	AFR
322	EUR
323	AFR
324	AFR
325	AFR
326	AFR
327	AFR
328	AFR
329	EUR
330	AFR
331	AFR
