Gene	GM12878	GM18502

A1BG	309.078345704297	275.013289552271

A1CF	53.5188036321665	37.1135700516451

A2M	69.5279631523941	17.4304835888206

A2ML1	56.8628354620643	409.613319113739

A2MP1	18.345694718062	27.517099022982

A3GALT2	6.11523157268733	0

A4GALT	937.11956289189	393.984513388308

A4GNT	6.11523157268733	11.9549457063478

AAAS	2455.04198306568	2660.37697373598

AACS	2036.65946537887	4525.63013674395

AACSP1	37.6532633830393	22.5032282675877

AADAC	12.2304631453747	3.58648371190435

AADACL2	14.9008257771463	9.40742328797764

AADACL3	34.7816851716	44.1640387332846

AADACL4	3.05761578634367	6.57522013849131

AADACP1	3.05761578634367	1.19549457063478

AADAT	12.5612146178308	370.457021237438

AAGAB	3283.04691557765	2948.68735847069

AAK1	3374.55875097426	1674.89172741042

AAMDC	324.314264768317	330.411154057886

AAMP	4341.14175030786	7467.65683547018

AANAT	9.33643286121617	10.1617038503957

AAR2	1588.51255624373	1988.58040144482

AARD	112.86626073983	119.530714697347

AARS	9769.42615007378	17997.1178948158

AARS2	979.552919338351	1514.67652189784

AARSD1	1408.57377516966	1754.28971925892

AARSP1	3.05761578634367	0

AASDH	686.884140171966	723.871963117109

AASDHPPT	2103.76346386763	2024.60007662966

AASS	319.661680398416	17591.7315629648

AATF	5078.48642399587	3427.48293400993

AATK	33.372689953016	151.930327716533

ABAT	605.789237903145	675.209885625767

ABBA01000935.1	68.176041390078	144.743910978805

ABCA1	39.1889417388831	1540.10584446976

ABCA10	214.495153595994	39.5855886194177

ABCA11P	193.840946728779	271.157117806661

ABCA12	862.247651748913	12.7450731734664

ABCA13	84.8052792765444	57.4379401255658

ABCA17P	27.6062497859242	84.6645339678835

ABCA2	156.050399454549	1095.84044634696

ABCA3	474.286390052188	767.271181807841

ABCA4	15.2880819893341	13.589679925916

ABCA5	1895.21456576551	139.008286079523

ABCA6	1837.10481624008	67.2268965395522

ABCA7	1310.87413874728	577.072724996368

ABCA8	59.2751903585528	40.3755505105382

ABCA9	306.9681994369	62.1482987193673

ABCB1	98.3550547118738	60.7923215553178

ABCB10	1639.39761525079	750.929497887962

ABCB10P1	0	10.3072343932155

ABCB10P3	0.028906699644093	5.79741463391233

ABCB10P4	0	3.34475590521657

ABCB11	60.4124155131991	18.3255366256673

ABCB4	268.558839649366	91.6490131424658

ABCB5	81.9028405489735	31.1368766609312

ABCB6	675.657425021701	1490.38092687633

ABCB7	2022.7924623057	1633.53045277282

ABCB8	1162.07057000702	857.736279342336

ABCB9	313.170689248898	300.184446864899

ABCC1	4043.8706356294	5810.60799662863

ABCC10	965.928281238109	1130.67092841305

ABCC11	36.6162882771798	21.1474059200851

ABCC12	48.9218495238828	12.5794033291096

ABCC13	81.3957930655084	24.4304139329811

ABCC2	119.424855774384	44.0092903295779

ABCC3	85.342101822537	73.9644409308443

ABCC4	2981.96005539386	1063.26547639091

ABCC5	916.077433252246	3410.47788569423

ABCC6	127.642843357114	80.8492780239533

ABCC6P1	3.16773887650462	28.8197117003875

ABCC6P2	0	14.1254671186265

ABCC8	71.59256929027	96.8250634958179

ABCC9	161.741258417018	95.6741118573903

ABCD1	279.87496254284	277.181703307622

ABCD1P2	7.33525696282789	5.83604644321511

ABCD1P3	3.49730093641988	1.25009758965396

ABCD1P4	9.85135064771537	0

ABCD1P5	0	0.857607755905278

ABCD2	788.364680567793	24.7794547120546

ABCD3	1700.2475541797	2061.62479154735

ABCD4	986.259545783586	2748.03414682247

ABCE1	7971.94611729962	8819.99181293376

ABCF1	8841.25541526272	9923.080922432

ABCF2	5037.38484879654	3604.43825966612

ABCF2P1	11.3409965978957	7.84070434101662

ABCF2P2	0	0.597747285317392

ABCF3	2456.01625564461	2210.68413068404

ABCG1	271.582601513723	441.530003134908

ABCG2	18.4541789261615	302.49872590155

ABCG4	45.8974272145157	148.249853025991

ABCG5	15.5929232256168	10.1617038503957

ABCG8	184.180892755121	34.4114438844113

ABHD1	77.854493037923	19.1569875581144

ABHD10	1286.13934181055	1471.12046986087

ABHD11	292.908670528134	668.693337372067

ABHD11-AS1	18.7411881471782	3.04352295402272

ABHD12	2085.26388546227	2105.67529894324

ABHD12B	159.095998810852	8569.38873345623

ABHD13	565.658920473578	724.428628427001

ABHD14A	190.952007374905	105.835237686161

ABHD14A-ACY1	51.6371224163243	53.4382934900501

ABHD14B	1268.91055133262	248.312609313005

ABHD15	441.241748639273	97.8039972137186

ABHD16A	1228.19179574497	1501.54118131504

ABHD16B	107.016552522028	101.617038503957

ABHD17A	2369.52682936248	2375.85932601171

ABHD17AP1	106.985104943666	11.420033615663

ABHD17AP3	22.373112849055	1.98540565323601

ABHD17AP4	44.781544218058	1.65823525183768

ABHD17AP5	104.492689435428	4.65858949466206

ABHD17B	539.57568439891	1872.85057224892

ABHD17C	587.533797887864	1284.20136045792

ABHD18	1042.03701936997	933.059744155143

ABHD2	3684.83049329282	1884.62473586404

ABHD3	977.251635392918	362.999456767133

ABHD4	859.19003596257	3973.34938687427

ABHD5	642.051435926571	792.11078484048

ABHD6	302.797155919575	263.232218967265

ABHD8	329.895398130677	597.290755230484

ABI1	3934.33448233718	1821.25211322247

ABI1P1	9.63259964151299	0.599684584269106

ABI2	1983.78637210607	6838.38225305921

ABI3	3271.02328790976	143.231349131388

